roi,policy,method,seed,N_budget,N_spawn,N_retained,retain_fraction,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,pruned_by
ramen_sample_021,hard,C3,0,86,86,86,1.0,56,0.029623578265058747,0.0137298635558897,0.021676720910474224,0.023001427946824807,50.43479919433594,1.277162086296789,1.277162086296789,0.02816901408402936,0.023255813953488372,0.03571428571428571,0.1297297297293076,0.09302325581395349,0.21428571428571427,0.4292887029284378,0.313953488372093,0.6785714285714286,dist_boundary<=0.50
ramen_sample_022,hard,C3,0,183,183,183,1.0,59,0.04136467139112602,0.0540152440158491,0.04768995770348756,0.053886334315436483,53.19218444824219,2.02769496782582,0.5214311413352325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dist_boundary<=0.50
roi_B_junction,soft,C1,0,53,53,53,1.0,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,0.061933540538978066,19.503082275390625,1.6601197427510177,1.662920798888432,0.0,0.0,0.0,0.0,0.0,0.0,0.09533267130062784,0.3018867924528302,0.05660377358490566,dist_boundary<=0.50
roi_C_layered,soft,C1,0,45,45,45,1.0,69,0.009989341235944485,0.01814833069541946,0.014068835965681972,0.014617178494682746,44.81156539916992,0.23114243907161294,0.1336075438497344,0.0,0.0,0.0,0.04395604395554401,0.044444444444444446,0.043478260869565216,0.19512195121901965,0.2222222222222222,0.17391304347826086,dist_boundary<=0.50
roi_D_curved_v2,soft,C1,0,47,47,13,0.2765957446808511,160,0.019921437620198316,0.056007320313211005,0.03796437896670466,0.05975006797135313,54.06562805175781,0.9006523491845507,0.7496350805294433,0.0115606936414795,0.07692307692307693,0.00625,0.03534609720165903,0.3076923076923077,0.01875,0.37779618889776884,0.9230769230769231,0.2375,mls_residual<=0.0500
ramen_sample_001,soft,C1,0,57,57,57,1.0,56,0.012025198033970319,0.021479695178982607,0.016752446606476463,0.016737499014232087,54.8961067199707,0.438655995952249,0.29710384029737497,0.0,0.0,0.0,0.060273972602476175,0.19298245614035087,0.03571428571428571,0.5213270142176152,0.9649122807017544,0.35714285714285715,dist_boundary<=0.50
ramen_sample_002,soft,C1,0,67,67,67,1.0,206,0.0036906527688618414,0.007797117480302233,0.005743885124582037,0.006180701899077653,52.0365104675293,0.7818116753313409,0.3851134113631237,0.06593406593369555,0.13432835820895522,0.043689320388349516,0.3351955307258531,0.5970149253731343,0.23300970873786409,0.7590361445778422,1.0,0.6116504854368932,dist_boundary<=0.50
ramen_sample_003,soft,C1,0,90,90,22,0.24444444444444444,56,0.03460089318742633,0.0761308942621539,0.055365893724790116,0.0632009404989694,36.10917282104492,0.5935581076234807,0.5611508130400265,0.0,0.0,0.0,0.025641025640620638,0.045454545454545456,0.017857142857142856,0.09338521400755827,0.36363636363636365,0.05357142857142857,mls_residual<=0.0500
ramen_sample_004,soft,C1,0,26,26,26,1.0,56,0.01880372489418108,0.029328973602727442,0.02406634924845426,0.025288285953540535,59.22617721557617,0.4155223092910685,0.11984471980578308,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.3658536585361523,0.5769230769230769,0.26785714285714285,0.8426966292129907,0.9615384615384616,0.75,dist_boundary<=0.50
ramen_sample_005,soft,C1,0,88,88,88,1.0,56,0.03162603951290127,0.039234057658022174,0.035430048585461726,0.0367281367863318,48.30207824707031,0.7793884707935687,0.6816112397291786,0.0,0.0,0.0,0.03488372092973282,0.03409090909090909,0.03571428571428571,0.2884615384610503,0.3409090909090909,0.25,dist_boundary<=0.50
