benefit_metric,descriptor,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_q,spearman_r
delta_C2_equal_cardinality_chamfer,p95_normal_dispersion,25,0.14674256331332738,0.4679343277683726,0.29884575932800456,0.1539514856063788,0.4775637920850935,0.29384615384615387
delta_C2_fscore_2x,p95_normal_dispersion,25,0.007752146314464852,0.14738155970367386,0.519708803789888,0.41472211161403777,0.685407218308456,0.1706576426877857
delta_C2_gt_to_pred,p95_normal_dispersion,25,0.31376479607002694,0.6220728130779665,0.209962812995486,0.4080380104040632,0.685407218308456,0.17307692307692307
delta_C3_chamfer,p95_normal_dispersion,25,0.054592946639182204,0.30359004472520834,0.3890374981011979,0.09957253513328639,0.36914695951852516,0.33692307692307694
delta_C3_equal_cardinality_chamfer,p95_normal_dispersion,25,0.054460856094756295,0.30359004472520834,0.38923317809257385,0.17275952616715787,0.48392483224576244,0.2815384615384615
delta_C3_fscore_2x,p95_normal_dispersion,25,0.009877325077301134,0.14738155970367386,0.5059005092933198,0.21468828232273157,0.5016286500536713,0.2571209383901563
delta_C3_gt_to_pred,p95_normal_dispersion,25,0.19756854703293178,0.5016286500536713,0.26665764400292186,0.06993034335673072,0.3266559412920575,0.36846153846153845
delta_C1_chamfer,semantic_entropy,25,0.5540778960721623,0.8203402725837852,-0.12423243887722096,0.9941767167264197,0.9984578295773174,-0.0015384615384615385
delta_C1_equal_cardinality_chamfer,semantic_entropy,25,0.3978952922178987,0.685407218308456,-0.17679055208885575,1.0,1.0,0.0
delta_C1_fscore_2x,semantic_entropy,25,0.9044255087291406,0.9568794073408381,0.0253063718115616,0.6095703502733028,0.8347269661400182,-0.10733670739186522
delta_C1_gt_to_pred,semantic_entropy,25,0.8152183851580422,0.9022805427962798,-0.04923209427358152,0.6714489122271148,0.8629362748292329,0.08923076923076922
delta_C2_chamfer,semantic_entropy,25,0.5540778960721623,0.8203402725837852,-0.12423243887722096,0.9941767167264197,0.9984578295773174,-0.0015384615384615385
delta_C2_equal_cardinality_chamfer,semantic_entropy,25,0.5524335130421113,0.8203402725837852,-0.12474428669715698,0.7229855608267111,0.8934455711029274,0.07461538461538461
delta_C2_fscore_2x,semantic_entropy,25,0.9044255087291406,0.9568794073408381,0.0253063718115616,0.6095703502733028,0.8347269661400182,-0.10733670739186522
delta_C2_gt_to_pred,semantic_entropy,25,0.8152183851580422,0.9022805427962798,-0.04923209427358152,0.6714489122271148,0.8629362748292329,0.08923076923076922
delta_C3_chamfer,semantic_entropy,25,0.9272588371030108,0.9653653646551893,-0.019242343260048776,0.915708552227811,0.9577135316878023,0.022307692307692306
delta_C3_equal_cardinality_chamfer,semantic_entropy,25,0.8935471930361767,0.9568794073408381,-0.028202015728943233,0.9912651655388017,0.9984578295773174,-0.002307692307692308
delta_C3_fscore_2x,semantic_entropy,25,0.6936071869126198,0.8689144978905348,0.08290128667481392,0.9941722321769048,0.9984578295773174,0.0015396463376656068
delta_C3_gt_to_pred,semantic_entropy,25,0.6817443079242658,0.8659482017088166,0.08628081984525272,0.4787936059036386,0.7477050831919836,0.14846153846153848
delta_C1_chamfer,semantic_purity,25,0.3921559069864165,0.685407218308456,-0.1789155341908785,0.22958524321981813,0.5157185759026457,-0.24923076923076923
delta_C1_equal_cardinality_chamfer,semantic_purity,25,0.5859772936310925,0.8298311984340937,-0.11443462414303707,0.39545398689886,0.685407218308456,-0.1776923076923077
