descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
semantic_entropy,delta_C2_fscore_2x,0.0253063718115616,0.9044255087291406,-0.10733670739186522,0.6095703502733028,25
semantic_entropy,delta_C2_gt_to_pred,-0.04923209427358152,0.8152183851580422,0.08923076923076922,0.6714489122271148,25
semantic_entropy,delta_C3_chamfer,-0.019242343260048776,0.9272588371030108,0.022307692307692306,0.915708552227811,25
semantic_entropy,delta_C3_equal_cardinality_chamfer,-0.028202015728943233,0.8935471930361767,-0.002307692307692308,0.9912651655388017,25
semantic_entropy,delta_C3_fscore_2x,0.08290128667481392,0.6936071869126198,0.0015396463376656068,0.9941722321769048,25
semantic_entropy,delta_C3_gt_to_pred,0.08628081984525272,0.6817443079242658,0.14846153846153848,0.4787936059036386,25
semantic_purity,delta_C1_chamfer,-0.1789155341908785,0.3921559069864165,-0.24923076923076923,0.22958524321981813,25
semantic_purity,delta_C1_equal_cardinality_chamfer,-0.11443462414303707,0.5859772936310925,-0.1776923076923077,0.39545398689886,25
semantic_purity,delta_C1_fscore_2x,-0.36579042193156314,0.07214142506643295,-0.2610058064636723,0.20759798786035025,25
semantic_purity,delta_C1_gt_to_pred,-0.12160619151591727,0.5625500464543625,-0.21999999999999997,0.29064871336599385,25
semantic_purity,delta_C2_chamfer,-0.1789155341908785,0.3921559069864165,-0.24923076923076923,0.22958524321981813,25
semantic_purity,delta_C2_equal_cardinality_chamfer,-0.18254285510254908,0.38246787204421295,-0.3638461538461538,0.07378412709009194,25
semantic_purity,delta_C2_fscore_2x,-0.36579042193156314,0.07214142506643295,-0.2610058064636723,0.20759798786035025,25
semantic_purity,delta_C2_gt_to_pred,-0.12160619151591727,0.5625500464543625,-0.21999999999999997,0.29064871336599385,25
semantic_purity,delta_C3_chamfer,-0.2515672127206959,0.22510431578163842,-0.22923076923076924,0.2703601898431141,25
semantic_purity,delta_C3_equal_cardinality_chamfer,-0.2205630221661604,0.28938459445368575,-0.1815384615384615,0.38513664752146737,25
semantic_purity,delta_C3_fscore_2x,-0.41449956558581685,0.03938794352161585,-0.3518091881565911,0.08459661017158739,25
semantic_purity,delta_C3_gt_to_pred,-0.32090358333192676,0.1178016930786696,-0.35846153846153844,0.07848252439256115,25
number_of_semantic_ids,delta_C1_chamfer,0.06428389407247949,0.7601530446352235,0.1925634341362774,0.3564261496897481,25
number_of_semantic_ids,delta_C1_equal_cardinality_chamfer,0.061090708164607294,0.7717501710499591,0.09764880027194596,0.6423897014869616,25
number_of_semantic_ids,delta_C1_fscore_2x,0.350649774056815,0.08569798899273272,0.44543265832084705,0.025652002452253006,25
number_of_semantic_ids,delta_C1_gt_to_pred,-0.07210750578538014,0.7319553248675912,0.13123998756549538,0.5317617406119651,25
number_of_semantic_ids,delta_C2_chamfer,0.06428389407247949,0.7601530446352235,0.1925634341362774,0.3564261496897481,25
number_of_semantic_ids,delta_C2_equal_cardinality_chamfer,0.09110210441250238,0.6649474609884888,0.280056759179941,0.17512723628160606,25
number_of_semantic_ids,delta_C2_fscore_2x,0.350649774056815,0.08569798899273272,0.44543265832084705,0.025652002452253006,25
