scene,roi,known_case,method,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,precision_0p5,recall_0p5,fscore_0p5,precision_1p0,recall_1p0,fscore_1p0,precision_2p0,recall_2p0,fscore_2p0,runtime_s
ramen,ramen_sample_003,False,C2,90,90,56,0.026452911116455195,0.04295834841169526,0.03470562976407523,56,0.026786442637153123,0.052940427021997825,0.039863434829575474,28.815654754638672,0.7154877177672992,0.8181139408156836,0.011111111111111112,0.017857142857142856,0.013698630136513417,0.07777777777777778,0.03571428571428571,0.04895104895061764,0.25555555555555554,0.17857142857142858,0.21023765996295266,3.905205249786377
ramen,ramen_sample_003,False,C3,90,90,56,0.03557132899461704,0.027668860421290433,0.03162009470795374,56,0.03505879282371343,0.032869671870207076,0.03396423234696025,30.46733856201172,0.9240827318599388,0.9073084437366742,0.0,0.0,0.0,0.03333333333333333,0.03571428571428571,0.03448275862019024,0.32222222222222224,0.44642857142857145,0.37429013939032363,3.9509902000427246
ramen,ramen_sample_004,False,C0,26,26,56,0.01880372489418108,0.029328973602727442,0.02406634924845426,26,0.020026633546627835,0.028511851395398427,0.02426924247101313,59.22617721557617,0.42088627394765304,0.11199342029698818,0.0,0.0,0.0,0.19230769230769232,0.07142857142857142,0.10416666666627171,0.6153846153846154,0.32142857142857145,0.4222873900288748,3.7832159996032715
ramen,ramen_sample_004,False,C1,26,26,56,0.022093599586189554,0.020447894711548804,0.02127074714886918,26,0.024799689661537005,0.02011492629627154,0.022457307978904273,58.99232482910156,0.9788218528172216,0.8260427827660851,0.038461538461538464,0.017857142857142856,0.02439024390200595,0.11538461538461539,0.05357142857142857,0.07317073170688398,0.5,0.5535714285714286,0.5254237288130605,3.611802816390991
ramen,ramen_sample_004,False,C2,26,26,56,0.022093599586189554,0.020447894711548804,0.02127074714886918,26,0.027595405975596177,0.020419070550029138,0.024007238262812657,58.99232482910156,0.9888726653989016,0.8907829778946351,0.038461538461538464,0.017857142857142856,0.02439024390200595,0.11538461538461539,0.05357142857142857,0.07317073170688398,0.5,0.5535714285714286,0.5254237288130605,3.533684015274048
ramen,ramen_sample_004,False,C3,26,26,56,0.04088943153026189,0.0315469357450178,0.036218183637639845,26,0.043352051473229666,0.0310060378990884,0.037179044686159034,64.51194763183594,1.0989721356877584,0.8784967804679695,0.038461538461538464,0.017857142857142856,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.02439024390200595,0.3076923076923077,0.25,0.27586206896502263,3.7161788940429688
ramen,ramen_sample_005,False,C0,88,88,56,0.03162603951290127,0.039234057658022174,0.035430048585461726,56,0.03191130676127412,0.04042700179860919,0.036169154279941655,48.30207824707031,0.8337368136924634,0.7367525056519457,0.0,0.0,0.0,0.011363636363636364,0.017857142857142856,0.01388888888841358,0.13636363636363635,0.14285714285714285,0.1395348837204305,3.758847236633301
ramen,ramen_sample_005,False,C1,88,88,56,0.03499383972724206,0.03330630987428408,0.03415007480076307,56,0.034262861009920445,0.03599420566494832,0.03512853333743438,49.924415588378906,0.8193170923218623,0.8846634314345421,0.011363636363636364,0.017857142857142856,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.01388888888841358,0.125,0.16071428571428573,0.14062499999950784,3.611111640930176
ramen,ramen_sample_005,False,C2,88,88,56,0.03499383972724206,0.03330630987428408,0.03415007480076307,56,0.03506273636981522,0.03592049485582595,0.03549161561282058,49.924415588378906,0.8472185773219368,0.9088877917977253,0.011363636363636364,0.017857142857142856,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.01388888888841358,0.125,0.16071428571428573,0.14062499999950784,3.8383007049560547
ramen,ramen_sample_005,False,C3,88,88,56,0.05630126452054627,0.03941083540185386,0.04785604996120006,56,0.05430829187814159,0.04094155622219251,0.04762492405016705,59.81292724609375,0.7870461879298303,0.9473717571989766,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.11111111111063579,3.8384511470794678
ramen,ramen_sample_006,False,C0,83,83,56,0.018154599311059807,0.039470541723366386,0.028812570517213094,56,0.017307541383647245,0.03954217778124869,0.02842485958244797,25.377426147460938,0.36885505474586283,0.3020249349481183,0.024096385542168676,0.017857142857142856,0.020512820512331574,0.1686746987951807,0.10714285714285714,0.13104524180919727,0.6265060240963856,0.26785714285714285,0.3752706278562078,3.8859994411468506
ramen,ramen_sample_006,False,C1,83,83,56,0.018343988334247576,0.02911823583572152,0.023731112084984546,56,0.018611840184163144,0.0291703098795806,0.02389107503187187,23.49494171142578,0.3370951395640105,0.32514222338531035,0.012048192771084338,0.017857142857142856,0.01438848920815196,0.14457831325301204,0.10714285714285714,0.12307692307643414,0.6144578313253012,0.30357142857142855,0.4063745019915892,3.7381484508514404
