roi,policy,method,seed,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,runtime_s,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,policy_name
ramen_sample_017,soft,C0,0,114,114,56,0.015284772494463188,0.04026743968018671,0.027776106087324948,0.02807549166761079,67.85943603515625,1.0085866205319212,0.504275091510596,3.2056593894958496,0.0,0.0,0.0,0.06206896551701365,0.23684210526315788,0.03571428571428571,0.2680479119453365,0.8070175438596491,0.16071428571428573,GLOBAL-SOFT
ramen_sample_017,soft,C1,0,114,114,56,0.015284772494463188,0.04026743968018671,0.027776106087324948,0.02807549166761079,67.85943603515625,0.9923486550332803,0.5186988274184621,3.3865647315979004,0.0,0.0,0.0,0.06206896551701365,0.23684210526315788,0.03571428571428571,0.2680479119453365,0.8070175438596491,0.16071428571428573,GLOBAL-SOFT
ramen_sample_017,soft,C2,0,114,114,56,0.015284772494463188,0.04026743968018671,0.027776106087324948,0.02807549166761079,67.85943603515625,0.703451082365369,1.369371118092696,3.330498218536377,0.0,0.0,0.0,0.06206896551701365,0.23684210526315788,0.03571428571428571,0.2680479119453365,0.8070175438596491,0.16071428571428573,GLOBAL-SOFT
ramen_sample_017,soft,C3,0,114,114,56,0.021044343408821272,0.021715179092396914,0.021379761250609093,0.021578817405651027,59.163124084472656,0.7953768828632582,0.6108365284277971,3.4223825931549072,0.0,0.0,0.0,0.06075949367039507,0.07017543859649122,0.05357142857142857,0.5486725663711813,0.543859649122807,0.5535714285714286,GLOBAL-SOFT
ramen_sample_018,soft,C0,0,117,117,56,0.01834705055948505,0.0417299561761668,0.030038503367825924,0.030186493451904252,25.146848678588867,0.6487294092158115,0.4950890846522132,3.3102519512176514,0.0,0.0,0.0,0.04210526315741074,0.05128205128205128,0.03571428571428571,0.4619454130091346,0.9658119658119658,0.30357142857142855,GLOBAL-SOFT
ramen_sample_018,soft,C1,0,117,117,56,0.01834705055948505,0.0417299561761668,0.030038503367825924,0.030186493451904252,25.146848678588867,0.5551369198179744,0.39634941426081993,3.3865723609924316,0.0,0.0,0.0,0.04210526315741074,0.05128205128205128,0.03571428571428571,0.4619454130091346,0.9658119658119658,0.30357142857142855,GLOBAL-SOFT
ramen_sample_018,soft,C2,0,117,117,56,0.01834705055948505,0.0417299561761668,0.030038503367825924,0.030186493451904252,25.146848678588867,0.6448431137886621,0.5214861020608018,3.3177006244659424,0.0,0.0,0.0,0.04210526315741074,0.05128205128205128,0.03571428571428571,0.4619454130091346,0.9658119658119658,0.30357142857142855,GLOBAL-SOFT
ramen_sample_018,soft,C3,0,117,117,56,0.035360810234138375,0.02611468541999673,0.030737747827067553,0.03230663266498645,41.58746337890625,0.8144959940894007,0.8055384934749273,3.3614895343780518,0.011560693641180661,0.008547008547008548,0.017857142857142856,0.09999999999954501,0.07692307692307693,0.14285714285714285,0.48234012758625167,0.42735042735042733,0.5535714285714286,GLOBAL-SOFT
ramen_sample_019,soft,C0,0,61,61,56,0.018658879423829006,0.0378693107529009,0.02826409508836495,0.028305758329714475,23.441659927368164,0.7183380052675612,0.3559789649522907,3.217292547225952,0.0,0.0,0.0,0.060453400503518245,0.19672131147540983,0.03571428571428571,0.3794466403158396,0.7868852459016393,0.25,GLOBAL-SOFT
ramen_sample_019,soft,C1,0,61,61,56,0.018658879423829006,0.0378693107529009,0.02826409508836495,0.028305758329714475,23.441659927368164,0.6784663178639928,0.22512653668780933,3.2169272899627686,0.0,0.0,0.0,0.060453400503518245,0.19672131147540983,0.03571428571428571,0.3794466403158396,0.7868852459016393,0.25,GLOBAL-SOFT
ramen_sample_019,soft,C2,0,61,61,56,0.018658879423829006,0.0378693107529009,0.02826409508836495,0.028305758329714475,23.441659927368164,0.9166466797470677,0.6063034427552573,3.2456512451171875,0.0,0.0,0.0,0.060453400503518245,0.19672131147540983,0.03571428571428571,0.3794466403158396,0.7868852459016393,0.25,GLOBAL-SOFT
ramen_sample_019,soft,C3,0,61,61,56,0.02740010031432141,0.016724955993436062,0.022062528153878734,0.023192530186315376,29.446908950805664,1.0897942560878935,1.1369341669973634,3.2356276512145996,0.01709401709351801,0.01639344262295082,0.017857142857142856,0.23873610298372408,0.19672131147540983,0.30357142857142855,0.6182045407202432,0.45901639344262296,0.9464285714285714,GLOBAL-SOFT
ramen_sample_020,soft,C0,0,37,37,56,0.019086181928811327,0.030673883886622812,0.02488003290771707,0.02510744112227327,50.166664123535156,0.2864737418120668,0.20562075742083646,3.1854746341705322,0.0,0.0,0.0,0.1368078175891149,0.1891891891891892,0.10714285714285714,0.6168876482898541,0.918918918918919,0.4642857142857143,GLOBAL-SOFT
